"Entity","Aliases","Toxicity","Purification_Keywords"
"නියඟලා","ගිනිසිළුව, ලාංගලී","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"ජයපාල","දන්තිබීජ, නේපාල","High","එළකිරි, ගොම දියරේ තම්බා"
"ගොඩකදුරු","විෂමූල, කුපීලු","High","ගොම දියරේ බහා, එළකිරි"
"වත්සනාභ","මීවිෂ, නාභි","High","ගොම දියරේ, එළකිරි"
"කණේරු","කරවීර, අශ්වමාරක","High","එළකිරි, ජලය"
"අත්තන","දත්තූර, කනක, උන්මත්ත","High","එළකිරි, ජලය"
"අබිං","අහිපේන, ඛස්ඛස්","High","ඉඟුරු යුෂ"
"ගංජා","භංගා, විජයා, මදනී","Medium-High","එළකිරි, ජලය"
"වරා","අර්ක, සූර්යපත්‍ර","Medium-High","එළකිරි, ජලය"
"එඬරු","ඒරණ්ඩ, පංචාංගුල","Medium","එළකිරි, උණු ජලය"
"ඔලින්ද","ගුංජා, රක්තිකා","High","එළකිරි, කාංජිකා"
"භාල්ලාතක","කෑල, අරැෂ්කර","High","ගඩොල් කුඩු, හුණු ජලය"
"සදිලිංගම්","හිංගුල, රක්ත","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"රසදිය","පාරද, රස","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ගෙන්දගම්","ගන්ධක, ශුල්වාරි","High","එළකිරි, ගිතෙල්"
"හිරියල්","හරිදාල, තාලක","High","හුණු ජලය, අළුපුහුල් යුෂ"
"මනෝසීල","මනහ්ශිලා","High","ඉඟුරු යුෂ"
"තුරීසි","තුත්ත, නීල","High","දෙහි යුෂ, මෝරු"
"අස්වගන්ධ","අශ්වගන්ධා, වාජීගන්ධා","Low","කිරි, ජලය"
"තිප්පිලි","පිප්පලී, මාගධී","Low","මී පැණි, උණු ජලය"
"ගම්මිරිස්","මරිච, කෘෂ්ණ","Low","ජලය, මී පැණි"
"ඉඟුරු","ශුන්ඨි, විශ්ව","Low","ජලය, හකුරු"
"සූදුරු","ජීරක","Low","ජලය, ලුණු"
"කළුදුරු","කෘෂ්ණජීරක","Low","ජලය, ලුණු"
"කොත්තමල්ලි","ධන්‍යක","Low","ජලය, සීනි"
"උළුහාල්","මේතී","Low","ජලය, සීනි"
"කරාබුනැටි","ලවංග","Low","ජලය, මී පැණි"
"සාදික්කා","ජාතිඵල","Low","ජලය, කිරි"
"වසාවාසි","ජාතිපත්‍ර","Low","ජලය, කිරි"
"කුරුඳු","ත්වක්","Low","ජලය, සීනි"
"අමුක්කරා","අශ්වගන්ධා, තුරගී","Low","කිරි, ජලය"
"බැබිල","බලා, වාට්‍යාලක","Low","ජලය, කිරි"
"අරළු","හරිදකී, ශිවා, අභයා","Low","ජලය, මී පැණි"
"බුළු","විභීතක, අක්ෂ","Low","ජලය, උණු ජලය"
"නෙල්ලි","ආමලකී, ශ්‍රීඵල","Low","ජලය, සීනි"
"රසකිඳ","ගුඩූචි, අමෘතා","Low","ජලය, මී පැණි"
"ඉරමුසු","සාරිවා, අනන්තා","Low","ජලය, සීනි"
"දුම්මැල්ල","කටුක, රොහිණී","Low","ජලය, උණු ජලය"
"බිංකොහොඹ","භූනිම්බ, කිරාතතික්ත","Low","ජලය, උණු ජලය"
"වැල්මී","යෂ්ටිමධු, මධුක","Low","ජලය, කිරි"
"සූකිරි","සර්කරා","Low","ජලය"
"මී පැණි","මධු","Low","පිරිසිදු කර"
"ගිතෙල්","ඝෘත","Low","පිරිසිදු කර"
"එළකිරි","ගෝදුග්ධ","Low","පිරිසිදු කර"
"තිත්ත ලබු","කටුතුම්බී","Medium","ජලය, ලුණු"
"දියලබු","කුෂ්මාණ්ඩ","Low","ජලය"
"පිපිඤ්ඤා","ත්‍රපුෂ","Low","ජලය"
"කැකිරි","කර්කටී","Low","ජලය"
"පුහුල්","කූෂ්මාණ්ඩ","Low","ජලය"
"නියඟලා මුල්","ගිනිසිළුව, ලාංගලී මුල්","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා පොතු","ගිනිසිළුව, ලාංගලී පොතු","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා කොළ","ගිනිසිළුව, ලාංගලී කොළ","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා මල්","ගිනිසිළුව, ලාංගලී මල්","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා ගෙඩි","ගිනිසිළුව, ලාංගලී ගෙඩි","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා ඇට","ගිනිසිළුව, ලාංගලී ඇට","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා යුෂ","ගිනිසිළුව, ලාංගලී යුෂ","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා තෛලය","ගිනිසිළුව, ලාංගලී තෛලය","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"නියඟලා චූර්ණය","ගිනිසිළුව, ලාංගලී චූර්ණය","High","ශෝධනය, පිරිසිදු කර, ගොම දියරේ"
"ජයපාල මුල්","දන්තිබීජ, නේපාල මුල්","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල පොතු","දන්තිබීජ, නේපාල පොතු","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල කොළ","දන්තිබීජ, නේපාල කොළ","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල මල්","දන්තිබීජ, නේපාල මල්","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල ගෙඩි","දන්තිබීජ, නේපාල ගෙඩි","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල ඇට","දන්තිබීජ, නේපාල ඇට","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල යුෂ","දන්තිබීජ, නේපාල යුෂ","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල තෛලය","දන්තිබීජ, නේපාල තෛලය","High","එළකිරි, ගොම දියරේ තම්බා"
"ජයපාල චූර්ණය","දන්තිබීජ, නේපාල චූර්ණය","High","එළකිරි, ගොම දියරේ තම්බා"
"ගොඩකදුරු මුල්","විෂමූල, කුපීලු මුල්","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු පොතු","විෂමූල, කුපීලු පොතු","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු කොළ","විෂමූල, කුපීලු කොළ","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු මල්","විෂමූල, කුපීලු මල්","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු ගෙඩි","විෂමූල, කුපීලු ගෙඩි","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු ඇට","විෂමූල, කුපීලු ඇට","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු යුෂ","විෂමූල, කුපීලු යුෂ","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු තෛලය","විෂමූල, කුපීලු තෛලය","High","ගොම දියරේ බහා, එළකිරි"
"ගොඩකදුරු චූර්ණය","විෂමූල, කුපීලු චූර්ණය","High","ගොම දියරේ බහා, එළකිරි"
"වත්සනාභ මුල්","මීවිෂ, නාභි මුල්","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ පොතු","මීවිෂ, නාභි පොතු","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ කොළ","මීවිෂ, නාභි කොළ","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ මල්","මීවිෂ, නාභි මල්","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ ගෙඩි","මීවිෂ, නාභි ගෙඩි","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ ඇට","මීවිෂ, නාභි ඇට","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ යුෂ","මීවිෂ, නාභි යුෂ","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ තෛලය","මීවිෂ, නාභි තෛලය","High","ගොම දියරේ, එළකිරි"
"වත්සනාභ චූර්ණය","මීවිෂ, නාභි චූර්ණය","High","ගොම දියරේ, එළකිරි"
"කණේරු මුල්","කරවීර, අශ්වමාරක මුල්","High","එළකිරි, ජලය"
"කණේරු පොතු","කරවීර, අශ්වමාරක පොතු","High","එළකිරි, ජලය"
"කණේරු කොළ","කරවීර, අශ්වමාරක කොළ","High","එළකිරි, ජලය"
"කණේරු මල්","කරවීර, අශ්වමාරක මල්","High","එළකිරි, ජලය"
"කණේරු ගෙඩි","කරවීර, අශ්වමාරක ගෙඩි","High","එළකිරි, ජලය"
"කණේරු ඇට","කරවීර, අශ්වමාරක ඇට","High","එළකිරි, ජලය"
"කණේරු යුෂ","කරවීර, අශ්වමාරක යුෂ","High","එළකිරි, ජලය"
"කණේරු තෛලය","කරවීර, අශ්වමාරක තෛලය","High","එළකිරි, ජලය"
"කණේරු චූර්ණය","කරවීර, අශ්වමාරක චූර්ණය","High","එළකිරි, ජලය"
"අත්තන මුල්","දත්තූර, කනක, උන්මත්ත මුල්","High","එළකිරි, ජලය"
"අත්තන පොතු","දත්තූර, කනක, උන්මත්ත පොතු","High","එළකිරි, ජලය"
"අත්තන කොළ","දත්තූර, කනක, උන්මත්ත කොළ","High","එළකිරි, ජලය"
"අත්තන මල්","දත්තූර, කනක, උන්මත්ත මල්","High","එළකිරි, ජලය"
"අත්තන ගෙඩි","දත්තූර, කනක, උන්මත්ත ගෙඩි","High","එළකිරි, ජලය"
"අත්තන ඇට","දත්තූර, කනක, උන්මත්ත ඇට","High","එළකිරි, ජලය"
"අත්තන යුෂ","දත්තූර, කනක, උන්මත්ත යුෂ","High","එළකිරි, ජලය"
"අත්තන තෛලය","දත්තූර, කනක, උන්මත්ත තෛලය","High","එළකිරි, ජලය"
"අත්තන චූර්ණය","දත්තූර, කනක, උන්මත්ත චූර්ණය","High","එළකිරි, ජලය"
"අබිං මුල්","අහිපේන, ඛස්ඛස් මුල්","High","ඉඟුරු යුෂ"
"අබිං පොතු","අහිපේන, ඛස්ඛස් පොතු","High","ඉඟුරු යුෂ"
"අබිං කොළ","අහිපේන, ඛස්ඛස් කොළ","High","ඉඟුරු යුෂ"
